mass_g,group,metabolic_loss_per_day,fmr_w_per_g,whole_body_fmr_w
0.01,ectotherm,0.04111532513388751,0.0033311027307547755,3.331102730754776e-05
0.01,mammal endotherm,2.168727572481606,0.17570709499272275,0.0017570709499272275
0.01,bird endotherm,3.156091555196022,0.2557018621107888,0.002557018621107888
0.01087751473730729,ectotherm,0.04056570051755285,0.003286572958598032,3.574974579238571e-05
0.01087751473730729,mammal endotherm,2.1200299058686567,0.17176168218843282,0.001868340229309369
0.01087751473730729,bird endotherm,3.08522313617232,0.24996020779173891,0.0027189458439950322
0.011832032686033727,ectotherm,0.04002342321558083,0.003242638454966039,3.836700418814808e-05
0.011832032686033727,mammal endotherm,2.072425720411956,0.16790486160745013,0.0019866558106833195
0.011832032686033727,bird endotherm,3.015946031192297,0.24434747937900558,0.002891127362762346
0.012870310991463341,ectotherm,0.039488395009975495,0.003199291262382274,4.1175873499131206e-05
0.012870310991463341,mammal endotherm,2.025890462552324,0.1641346439567855,0.002112463912196939
0.012870310991463341,bird endotherm,2.9482245081143224,0.2388607819074104,0.003074212546812472
0.01399969974833705,ectotherm,0.038960518995707016,0.003156523529744781,4.419038166498799e-05
0.01399969974833705,mammal endotherm,1.9804001300681757,0.16044908461200497,0.002246239009463596
0.01399969974833705,bird endotherm,2.8820236371437034,0.2334972854167352,0.003268891887886052
0.015228194033041341,ectotherm,0.03843969956316005,0.0031143275109041706,4.742558361848738e-05
0.015228194033041341,mammal endotherm,1.9359312596955138,0.15684628261421987,0.002388485625010579
0.015228194033041341,bird endotherm,2.81730927281639,0.22825422349206864,0.003475899604198404
0.016564490501698212,ectotherm,0.0379258423808169,0.0030726955632606285,5.0897636472240916e-05
0.016564490501698212,mammal endotherm,1.8924609150259137,0.1533243796895995,0.002539740231047141
0.016564490501698212,bird endotherm,2.7540480363872355,0.2231288918369288,0.0036960164094872548
0.01801804895482089,ectotherm,0.037418854378171995,0.0030316201463796754,5.462388020989027e-05
0.01801804895482089,mammal endotherm,1.8499666746762529,0.1498815592909001,0.002700573272728328
