K_plant,plant_mean_tail,consumer_mean_tail,plant_min_tail,consumer_min_tail,plant_max_tail,consumer_max_tail,plant_amplitude_tail,consumer_amplitude_tail,plant_cv_tail,consumer_cv_tail,plant_final,consumer_final
10,7.999999999999908,0.0,7.999999999999673,0.0,7.999999999999998,0.0,3.2507330161024584e-13,0.0,1.3400178483363926e-14,0.0,7.999999999999998,0.0
25,19.999999996524252,7.843354944437627e-09,19.999999951711278,0.0,20.000000000227768,1.1147077206537522e-07,4.851649038073447e-08,1.1147077206537522e-07,4.178340381082769e-10,2.4716852125382656,20.000000000000032,0.0
50,25.067206672721436,18.67602749246868,25.067206670461125,18.676027492206906,25.067206673076033,18.6760274941374,2.6149074017212115e-09,1.930494875068689e-09,2.759430133328738e-11,2.734341255586657e-11,25.067206673076033,18.676027492206906
100,25.067206673208393,34.351455080613974,25.067206672014787,34.35145507935323,25.06720667339781,34.351455080700546,1.3830216971655318e-09,1.3473169246935868e-09,6.78719961502156e-12,5.742962397178058e-12,25.067206673191492,34.35145508070046
200,27.21238474674202,41.53354253802495,8.810620775781503,26.46556380902066,54.482809339712134,61.03371063999979,45.67218856393063,34.56814683097913,0.5927295858286875,0.29111731234408417,17.625329469556775,59.362948362589556
400,55.40242487171056,41.35986418263845,0.005993902324218312,3.0995482759043775,263.3813671446979,162.55303798016348,263.37537324237366,159.4534897042591,1.6172133345799486,1.1160261320763905,0.13834685564984495,9.121357016880781
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
