0,1,2,3,4,5,6,7,8,9,10
0.0,2.37595634255558,2.7994627088774,2.02569276560098,2.50635855016299,2.82122864644043,2.54475657618605,2.26668445440009,2.34463732200675,2.36917595285922,2.42925208457746
2.0,0.0,0.0,0.0,0.0012733215986004964,0.0014332870968800648,0.0012928291969349637,0.734919971292765,1.5264140291019954,0.0016709181038301324,1.9080072754389605
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23422482439892456,1.0733445937777704,0.0,1.497114758081532
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07464930915944351,0.7571315523589053,0.0,1.1745851238113851
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0237913268684588,0.5347015597366838,0.0,0.9215295428155765
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007582484560612231,0.37782591482651284,0.0,0.722992109996305
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002416597965712675,0.26705724850814005,0.0,0.5672281888232855
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007701889375710258,0.1887967983528085,0.0,0.44502258066994016
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024546532272770843,0.13348458696120158,0.0,0.34914537215053415
18.0,0.0,0.0,0.0,0.0,0.0,0.0,7.823174512456768e-05,0.09438328833137485,0.0,0.27392428199159014
20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4933077622635865e-05,0.06673832549003701,0.0,0.21490908443539933
22.0,0.0,0.0,0.0,0.0,0.0,0.0,7.946369581127514e-06,0.047191632765985175,0.0,0.16860832576436047
24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.532571007701902e-06,0.033370308519433435,0.0,0.13228276315886878
26.0,0.0,0.0,0.0,0.0,0.0,0.0,8.071504658284665e-07,0.02359709980577165,0.0,0.10378330577459505
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016686254755274174,0.0,0.08142387035389764
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01179940638225328,0.0,0.06388162926518806
32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008343764650300858,0.0,0.05011874945072034
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005900166560259478,0.0,0.03932099220695551
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004172215099042554,0.0,0.030849541241241674
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029503206412638773,0.0,0.02420320905907164
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020862762125788037,0.0,0.018988785738375848
42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001475279913689051,0.0,0.014897775866741883
44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010432228042463608,0.0,0.01168814735357903
46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007376999012007972,0.0,0.009170012341503527
48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005216538113049828,0.0,0.007194393071847956
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003688799477213512,0.0,0.005644408071076527
52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002608481208812474,0.0,0.004428357215774204
54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018445497716763638,0.0,0.0034742965752225085
56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013043467031188176,0.0,0.0027257820687106742
58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223499139814791e-05,0.0,0.002138530124080959
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.522264074045148e-05,0.0,0.0016777977755811381
62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6121247497145677e-05,0.0,0.0013163272025241046
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2613973412087244e-05,0.0,0.001032733103669049
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30624998135351e-05,0.0,0.0008102375012601596
68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6308313340136038e-05,0.0,0.0006356771232721955
70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1532188017625812e-05,0.0,0.0004987246386684662
