"time","1","2","3","4","5","6","7","8","9","10"
0,2.37595634255558,2.7994627088774,2.02569276560098,2.50635855016299,2.82122864644043,2.54475657618605,2.26668445440009,2.34463732200675,2.36917595285922,2.42925208457746
2,0.211157609782331,2.14915688222062,4.14433145242965,2.05257237632765,2.70095346394811,2.46564466880944,2.25982516082208,2.65123321337639,2.96475118861553,2.73355859856795
4,0.042237279975616,1.48097109226787,5.71492145157713,1.34949360424197,2.17243622731568,1.98772915150042,2.04120281433705,2.97510072565671,3.30803615878894,3.03887807437742
6,0.0178637101854865,1.00236406901767,6.33928838547703,0.86807327416502,1.71990292150672,1.57542012023637,1.68323227720727,3.29074711808533,3.33121629762446,3.31186566183182
8,0.0115117512123583,0.716486889366144,6.51342125468766,0.565188498554708,1.35676042255285,1.24393385978466,1.29205516680618,3.57828452886052,3.1268297202827,3.52173030533028
10,0.00970947981751559,0.559964202940849,6.5465161166309,0.377998284903731,1.06868906604019,0.98068583262232,0.94556104659884,3.82600132957246,2.82005921109326,3.65236550666023
12,0.00989024509055754,0.481381884535164,6.54247363527915,0.261459840280341,0.841552285938265,0.772934593648439,0.674982244476802,4.03100684004117,2.49663416352458,3.70612113642335
14,0.0115956403607325,0.452008749440493,6.5309037537051,0.187341955460131,0.66328637148253,0.609750585563019,0.478946985720132,4.19631367051032,2.20176958654743,3.69756201518066
16,0.015172443035858,0.458269066276544,6.51964759259686,0.138836765210337,0.523970556570006,0.482128966855274,0.342689715389445,4.3277633067893,1.95597889437381,3.64453772545291
18,0.0216993235593769,0.495285156594545,6.51046194298994,0.10613931162354,0.415685603417333,0.382876094831217,0.249924165102621,4.43201215077126,1.76732912865596,3.56260056908266
20,0.0334220307190906,0.563163162492882,6.50345753140979,0.0835951544201298,0.332347957923584,0.306466886379164,0.187384644887932,4.51553718275111,1.63857068222689,3.46330896107086
22,0.0548143780399717,0.664461061502926,6.49836253911207,0.0680280669771725,0.269608964809378,0.24896127294194,0.14550597835644,4.58428953487731,1.57085656114736,3.35457915822044
24,0.0948094220384543,0.801227833418273,6.49487222574516,0.0578464530379766,0.224919149926848,0.208074818946861,0.117766368973823,4.64368887297535,1.56532012448935,3.24161703633417
26,0.171298131159935,0.970481149180473,6.4927403665535,0.0526848027862634,0.19788244925297,0.18352342388541,0.0998353798765215,4.69876680820789,1.62304617946848,3.1277868302899
28,0.319408822409318,1.15861287419547,6.49178921488418,0.0534809180388312,0.191023683826539,0.177765498489178,0.088899792468346,4.7543450184076,1.74354082799871,3.01525883880362
30,0.602060476182543,1.33858175722746,6.49189153040004,0.0629732320648072,0.210964889925762,0.197151062935583,0.0832324350664529,4.81517867494552,1.9218451569385,2.90545924525417
32,1.10006691771444,1.47569266957414,6.49294861596336,0.0865940506701445,0.269725137895485,0.253220778986717,0.0819101270065707,4.88604499814612,2.14512509344043,2.7993819996291
34,1.80940874755805,1.5419630777673,6.49487865524704,0.133746967378144,0.385620519343702,0.363674685097107,0.0844271253032641,4.97183151412811,2.39066596003342,2.69778902395709
