pixel_id x y time species delta_biomass
0 0 0 0.0000 4 4.395334e-01
0 0 0 0.0000 5 6.127441e-01
0 0 0 0.0000 6 6.296015e-01
0 0 0 0.0000 7 6.161459e-01
0 0 0 0.0000 8 1.665155e-02
0 0 0 0.0000 9 7.831735e-03
0 0 0 1.0000 4 1.724257e+00
0 0 0 1.0000 5 1.304039e+00
0 0 0 1.0000 6 3.193073e+00
0 0 0 1.0000 7 1.915077e+00
0 0 0 1.0000 8 5.064347e-02
0 0 0 1.0000 9 4.100801e-02
0 0 0 2.0000 4 3.812305e+00
0 0 0 2.0000 5 3.520222e+00
0 0 0 2.0000 6 1.064249e+01
0 0 0 2.0000 7 6.955023e+00
0 0 0 2.0000 8 2.749074e-01
0 0 0 2.0000 9 5.173871e-01
0 0 0 3.0000 4 1.424647e+00
0 0 0 3.0000 5 3.194214e+00
0 0 0 3.0000 6 -8.057332e-01
0 0 0 3.0000 7 5.036283e+00
0 0 0 3.0000 8 1.408446e+00
0 0 0 3.0000 9 1.374103e+01
0 0 0 4.0000 4 -9.363958e-01
0 0 0 4.0000 5 2.761952e-01
0 0 0 4.0000 6 -9.180597e+00
0 0 0 4.0000 7 -1.071005e+01
0 0 0 4.0000 8 5.938056e+00
0 0 0 4.0000 9 2.491295e+01
0 0 0 5.0000 4 -2.684641e+00
0 0 0 5.0000 5 -3.268201e+00
0 0 0 5.0000 6 -7.879606e-01
0 0 0 5.0000 7 -1.797360e+00
0 0 0 5.0000 8 1.154337e+01
0 0 0 5.0000 9 7.331578e+00
0 0 0 6.0000 4 -1.652966e+00
0 0 0 6.0000 5 -2.183963e+00
0 0 0 6.0000 6 3.628150e-01
0 0 0 6.0000 7 -2.523800e-01
0 0 0 6.0000 8 8.928927e+00
0 0 0 6.0000 9 6.210043e+00
0 0 0 7.0000 4 -7.780043e-01
0 0 0 7.0000 5 -9.021191e-01
0 0 0 7.0000 6 1.799195e-01
0 0 0 7.0000 7 1.133434e-01
0 0 0 7.0000 8 6.322120e+00
0 0 0 7.0000 9 7.769949e+00
0 0 0 8.0000 4 -4.714647e-01
0 0 0 8.0000 5 -4.138114e-01
0 0 0 8.0000 6 -2.291286e-01
0 0 0 8.0000 7 -1.319612e-02
0 0 0 8.0000 8 5.073370e+00
0 0 0 8.0000 9 8.899391e+00
0 0 0 9.0000 4 -2.708876e-01
0 0 0 9.0000 5 -2.456328e-01
0 0 0 9.0000 6 -2.494464e-01
0 0 0 9.0000 7 -1.584972e-01
0 0 0 9.0000 8 4.385244e+00
0 0 0 9.0000 9 8.923033e+00
0 0 0 10.0000 4 -1.488125e-01
0 0 0 10.0000 5 -1.695759e-01
0 0 0 10.0000 6 -1.898142e-01
0 0 0 10.0000 7 -1.849485e-01
0 0 0 10.0000 8 4.008371e+00
0 0 0 10.0000 9 8.628003e+00
